Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 5432,urban 5887,Undirected,11415,,,1,(urban 5432),none,(urban 5887),9.9,0,default,urbanangrycollectives,0,true
urban 1824,urban 5439,Undirected,11416,,,1,(urban 1824),none,(urban 5439),9.9,0,default,urbanangrycollectives,0,true
urban 2283,urban 5910,Undirected,11417,,,1,(urban 2283),none,(urban 5910),9.9,0,default,urbanangrycollectives,0,true
urban 807,urban 4751,Undirected,11418,,,1,(urban 807),none,(urban 4751),9.9,0,default,urbanangrycollectives,0,true
urban 1398,urban 3361,Undirected,11419,,,1,(urban 1398),none,(urban 3361),9.9,0,default,urbanangrycollectives,0,true
urban 4403,urban 5848,Undirected,11420,,,1,(urban 4403),none,(urban 5848),9.9,0,default,urbanangrycollectives,0,true
urban 3975,urban 5307,Undirected,11421,,,1,(urban 3975),none,(urban 5307),9.9,0,default,urbanangrycollectives,0,true
urban 1746,urban 2782,Undirected,11422,,,1,(urban 1746),none,(urban 2782),9.9,0,default,urbanangrycollectives,0,true
urban 2642,urban 5557,Undirected,11423,,,1,(urban 2642),none,(urban 5557),9.9,0,default,urbanangrycollectives,0,true
urban 449,urban 6359,Undirected,11424,,,1,(urban 449),none,(urban 6359),9.9,0,default,urbanangrycollectives,0,true
urban 993,urban 1929,Undirected,11425,,,1,(urban 993),none,(urban 1929),9.9,0,default,urbanangrycollectives,0,true
urban 2736,urban 2899,Undirected,11426,,,1,(urban 2736),none,(urban 2899),9.9,0,default,urbanangrycollectives,0,true
urban 993,urban 1863,Undirected,11427,,,1,(urban 993),none,(urban 1863),9.9,0,default,urbanangrycollectives,0,true
urban 1308,urban 5349,Undirected,11428,,,1,(urban 1308),none,(urban 5349),9.9,0,default,urbanangrycollectives,0,true
urban 1899,urban 3652,Undirected,11429,,,1,(urban 1899),none,(urban 3652),9.9,0,default,urbanangrycollectives,0,true
urban 3459,urban 3977,Undirected,11430,,,1,(urban 3459),none,(urban 3977),9.9,0,default,urbanangrycollectives,0,true
urban 1888,urban 3738,Undirected,11431,,,1,(urban 1888),none,(urban 3738),9.9,0,default,urbanangrycollectives,0,true
urban 763,urban 4165,Undirected,11432,,,1,(urban 763),none,(urban 4165),9.9,0,default,urbanangrycollectives,0,true
urban 2244,urban 4573,Undirected,11433,,,1,(urban 2244),none,(urban 4573),9.9,0,default,urbanangrycollectives,0,true
urban 1056,urban 6101,Undirected,11434,,,1,(urban 1056),none,(urban 6101),9.9,0,default,urbanangrycollectives,0,true
urban 1503,urban 4267,Undirected,11435,,,1,(urban 1503),none,(urban 4267),9.9,0,default,urbanangrycollectives,0,true
urban 2516,urban 4291,Undirected,11436,,,1,(urban 2516),none,(urban 4291),9.9,0,default,urbanangrycollectives,0,true
urban 887,urban 1949,Undirected,11437,,,1,(urban 887),none,(urban 1949),9.9,0,default,urbanangrycollectives,0,true
urban 1965,urban 3217,Undirected,11438,,,1,(urban 1965),none,(urban 3217),9.9,0,default,urbanangrycollectives,0,true
urban 1675,urban 6229,Undirected,11439,,,1,(urban 1675),none,(urban 6229),9.9,0,default,urbanangrycollectives,0,true
urban 262,urban 2331,Undirected,11440,,,1,(urban 262),none,(urban 2331),9.9,0,default,urbanangrycollectives,0,true
urban 795,urban 3038,Undirected,11441,,,1,(urban 795),none,(urban 3038),9.9,0,default,urbanangrycollectives,0,true
urban 4419,urban 5514,Undirected,11442,,,1,(urban 4419),none,(urban 5514),9.9,0,default,urbanangrycollectives,0,true
urban 1093,urban 2877,Undirected,11443,,,1,(urban 1093),none,(urban 2877),9.9,0,default,urbanangrycollectives,0,true
urban 3252,urban 5143,Undirected,11444,,,1,(urban 3252),none,(urban 5143),9.9,0,default,urbanangrycollectives,0,true
urban 813,urban 2792,Undirected,11445,,,1,(urban 813),none,(urban 2792),9.9,0,default,urbanangrycollectives,0,true
urban 3470,urban 5826,Undirected,11446,,,1,(urban 3470),none,(urban 5826),9.9,0,default,urbanangrycollectives,0,true
urban 610,urban 3551,Undirected,11447,,,1,(urban 610),none,(urban 3551),9.9,0,default,urbanangrycollectives,0,true
urban 5428,urban 5432,Undirected,11448,,,1,(urban 5428),none,(urban 5432),9.9,0,default,urbanangrycollectives,0,true
urban 5413,urban 6273,Undirected,11449,,,1,(urban 5413),none,(urban 6273),9.9,0,default,urbanangrycollectives,0,true
urban 538,urban 1397,Undirected,11450,,,1,(urban 538),none,(urban 1397),9.9,0,default,urbanangrycollectives,0,true
urban 1461,urban 1516,Undirected,11451,,,1,(urban 1461),none,(urban 1516),9.9,0,default,urbanangrycollectives,0,true
urban 1596,urban 3763,Undirected,11452,,,1,(urban 1596),none,(urban 3763),9.9,0,default,urbanangrycollectives,0,true
urban 2597,urban 5422,Undirected,11453,,,1,(urban 2597),none,(urban 5422),9.9,0,default,urbanangrycollectives,0,true
urban 1737,urban 5429,Undirected,11454,,,1,(urban 1737),none,(urban 5429),9.9,0,default,urbanangrycollectives,0,true
urban 3028,urban 5442,Undirected,11455,,,1,(urban 3028),none,(urban 5442),9.9,0,default,urbanangrycollectives,0,true
urban 822,urban 1899,Undirected,11456,,,1,(urban 822),none,(urban 1899),9.9,0,default,urbanangrycollectives,0,true
urban 1222,urban 5638,Undirected,11457,,,1,(urban 1222),none,(urban 5638),9.9,0,default,urbanangrycollectives,0,true
urban 886,urban 5030,Undirected,11458,,,1,(urban 886),none,(urban 5030),9.9,0,default,urbanangrycollectives,0,true
urban 200,urban 4442,Undirected,11459,,,1,(urban 200),none,(urban 4442),9.9,0,default,urbanangrycollectives,0,true
urban 4762,urban 5790,Undirected,11460,,,1,(urban 4762),none,(urban 5790),9.9,0,default,urbanangrycollectives,0,true
