Source,Target,Type,Id,Label,timeset,Weight,END1,TIE-MODE,END2,LABEL-COLOR,THICKNESS,SHAPE,BREED,COLOR,HIDDEN?
urban 695,urban 4190,Undirected,0,,,1,(urban 695),none,(urban 4190),9.9,0,default,urbanangrycollectives,0,true
urban 5747,urban 6176,Undirected,1,,,1,(urban 5747),none,(urban 6176),9.9,0,default,urbanangrycollectives,0,true
urban 1222,urban 5579,Undirected,2,,,1,(urban 1222),none,(urban 5579),9.9,0,default,urbanangrycollectives,0,true
urban 972,urban 1455,Undirected,3,,,1,(urban 972),none,(urban 1455),9.9,0,default,urbanangrycollectives,0,true
urban 1256,urban 1761,Undirected,4,,,1,(urban 1256),none,(urban 1761),9.9,0,default,urbanangrycollectives,0,true
urban 589,urban 5702,Undirected,5,,,1,(urban 589),none,(urban 5702),9.9,0,default,urbanangrycollectives,0,true
urban 450,urban 5868,Undirected,6,,,1,(urban 450),none,(urban 5868),9.9,0,default,urbanangrycollectives,0,true
urban 551,urban 2379,Undirected,7,,,1,(urban 551),none,(urban 2379),9.9,0,default,urbanangrycollectives,0,true
urban 5590,urban 5888,Undirected,8,,,1,(urban 5590),none,(urban 5888),9.9,0,default,urbanangrycollectives,0,true
urban 1176,urban 4446,Undirected,9,,,1,(urban 1176),none,(urban 4446),9.9,0,default,urbanangrycollectives,0,true
urban 2800,urban 5439,Undirected,10,,,1,(urban 2800),none,(urban 5439),9.9,0,default,urbanangrycollectives,0,true
urban 3079,urban 4818,Undirected,11,,,1,(urban 3079),none,(urban 4818),9.9,0,default,urbanangrycollectives,0,true
urban 1048,urban 2164,Undirected,12,,,1,(urban 1048),none,(urban 2164),9.9,0,default,urbanangrycollectives,0,true
urban 5358,urban 6266,Undirected,13,,,1,(urban 5358),none,(urban 6266),9.9,0,default,urbanangrycollectives,0,true
urban 2704,urban 4782,Undirected,14,,,1,(urban 2704),none,(urban 4782),9.9,0,default,urbanangrycollectives,0,true
urban 5636,urban 6364,Undirected,15,,,1,(urban 5636),none,(urban 6364),9.9,0,default,urbanangrycollectives,0,true
urban 4155,urban 4205,Undirected,16,,,1,(urban 4155),none,(urban 4205),9.9,0,default,urbanangrycollectives,0,true
urban 4465,urban 5021,Undirected,17,,,1,(urban 4465),none,(urban 5021),9.9,0,default,urbanangrycollectives,0,true
urban 2451,urban 2556,Undirected,18,,,1,(urban 2451),none,(urban 2556),9.9,0,default,urbanangrycollectives,0,true
urban 546,urban 3866,Undirected,19,,,1,(urban 546),none,(urban 3866),9.9,0,default,urbanangrycollectives,0,true
urban 3563,urban 3600,Undirected,20,,,1,(urban 3563),none,(urban 3600),9.9,0,default,urbanangrycollectives,0,true
urban 262,urban 932,Undirected,21,,,1,(urban 262),none,(urban 932),9.9,0,default,urbanangrycollectives,0,true
urban 4464,urban 5843,Undirected,22,,,1,(urban 4464),none,(urban 5843),9.9,0,default,urbanangrycollectives,0,true
urban 4296,urban 5147,Undirected,23,,,1,(urban 4296),none,(urban 5147),9.9,0,default,urbanangrycollectives,0,true
urban 4530,urban 6184,Undirected,24,,,1,(urban 4530),none,(urban 6184),9.9,0,default,urbanangrycollectives,0,true
urban 3558,urban 4283,Undirected,25,,,1,(urban 3558),none,(urban 4283),9.9,0,default,urbanangrycollectives,0,true
urban 4603,urban 5168,Undirected,26,,,1,(urban 4603),none,(urban 5168),9.9,0,default,urbanangrycollectives,0,true
urban 2582,urban 5444,Undirected,27,,,1,(urban 2582),none,(urban 5444),9.9,0,default,urbanangrycollectives,0,true
urban 173,urban 4090,Undirected,28,,,1,(urban 173),none,(urban 4090),9.9,0,default,urbanangrycollectives,0,true
urban 3061,urban 3290,Undirected,29,,,1,(urban 3061),none,(urban 3290),9.9,0,default,urbanangrycollectives,0,true
urban 3096,urban 4319,Undirected,30,,,1,(urban 3096),none,(urban 4319),9.9,0,default,urbanangrycollectives,0,true
urban 1126,urban 5660,Undirected,31,,,1,(urban 1126),none,(urban 5660),9.9,0,default,urbanangrycollectives,0,true
urban 1755,urban 5002,Undirected,32,,,1,(urban 1755),none,(urban 5002),9.9,0,default,urbanangrycollectives,0,true
urban 2064,urban 4049,Undirected,33,,,1,(urban 2064),none,(urban 4049),9.9,0,default,urbanangrycollectives,0,true
urban 640,urban 5367,Undirected,34,,,1,(urban 640),none,(urban 5367),9.9,0,default,urbanangrycollectives,0,true
urban 1122,urban 3420,Undirected,35,,,1,(urban 1122),none,(urban 3420),9.9,0,default,urbanangrycollectives,0,true
urban 3262,urban 4628,Undirected,36,,,1,(urban 3262),none,(urban 4628),9.9,0,default,urbanangrycollectives,0,true
urban 4273,urban 4492,Undirected,37,,,1,(urban 4273),none,(urban 4492),9.9,0,default,urbanangrycollectives,0,true
urban 2525,urban 4988,Undirected,38,,,1,(urban 2525),none,(urban 4988),9.9,0,default,urbanangrycollectives,0,true
urban 772,urban 4575,Undirected,39,,,1,(urban 772),none,(urban 4575),9.9,0,default,urbanangrycollectives,0,true
urban 831,urban 4599,Undirected,40,,,1,(urban 831),none,(urban 4599),9.9,0,default,urbanangrycollectives,0,true
urban 3104,urban 4488,Undirected,41,,,1,(urban 3104),none,(urban 4488),9.9,0,default,urbanangrycollectives,0,true
urban 1615,urban 4372,Undirected,42,,,1,(urban 1615),none,(urban 4372),9.9,0,default,urbanangrycollectives,0,true
urban 3033,urban 5889,Undirected,43,,,1,(urban 3033),none,(urban 5889),9.9,0,default,urbanangrycollectives,0,true
urban 4174,urban 5571,Undirected,44,,,1,(urban 4174),none,(urban 5571),9.9,0,default,urbanangrycollectives,0,true
urban 191,urban 697,Undirected,45,,,1,(urban 191),none,(urban 697),9.9,0,default,urbanangrycollectives,0,true
urban 4480,urban 4946,Undirected,46,,,1,(urban 4480),none,(urban 4946),9.9,0,default,urbanangrycollectives,0,true
urban 3423,urban 3850,Undirected,47,,,1,(urban 3423),none,(urban 3850),9.9,0,default,urbanangrycollectives,0,true
urban 1034,urban 5407,Undirected,48,,,1,(urban 1034),none,(urban 5407),9.9,0,default,urbanangrycollectives,0,true
urban 713,urban 3086,Undirected,49,,,1,(urban 713),none,(urban 3086),9.9,0,default,urbanangrycollectives,0,true
urban 2037,urban 6240,Undirected,50,,,1,(urban 2037),none,(urban 6240),9.9,0,default,urbanangrycollectives,0,true
urban 1148,urban 2673,Undirected,51,,,1,(urban 1148),none,(urban 2673),9.9,0,default,urbanangrycollectives,0,true
urban 872,urban 1950,Undirected,52,,,1,(urban 872),none,(urban 1950),9.9,0,default,urbanangrycollectives,0,true
urban 1171,urban 5681,Undirected,53,,,1,(urban 1171),none,(urban 5681),9.9,0,default,urbanangrycollectives,0,true
urban 2439,urban 5136,Undirected,54,,,1,(urban 2439),none,(urban 5136),9.9,0,default,urbanangrycollectives,0,true
urban 3345,urban 5500,Undirected,55,,,1,(urban 3345),none,(urban 5500),9.9,0,default,urbanangrycollectives,0,true
urban 2716,urban 3264,Undirected,56,,,1,(urban 2716),none,(urban 3264),9.9,0,default,urbanangrycollectives,0,true
urban 193,urban 5030,Undirected,57,,,1,(urban 193),none,(urban 5030),9.9,0,default,urbanangrycollectives,0,true
urban 1300,urban 2259,Undirected,58,,,1,(urban 1300),none,(urban 2259),9.9,0,default,urbanangrycollectives,0,true
urban 3472,urban 3770,Undirected,59,,,1,(urban 3472),none,(urban 3770),9.9,0,default,urbanangrycollectives,0,true
urban 623,urban 679,Undirected,60,,,1,(urban 623),none,(urban 679),9.9,0,default,urbanangrycollectives,0,true
urban 1510,urban 3813,Undirected,61,,,1,(urban 1510),none,(urban 3813),9.9,0,default,urbanangrycollectives,0,true
urban 1945,urban 2221,Undirected,62,,,1,(urban 1945),none,(urban 2221),9.9,0,default,urbanangrycollectives,0,true
urban 932,urban 1841,Undirected,63,,,1,(urban 932),none,(urban 1841),9.9,0,default,urbanangrycollectives,0,true
urban 1959,urban 4995,Undirected,64,,,1,(urban 1959),none,(urban 4995),9.9,0,default,urbanangrycollectives,0,true
urban 1830,urban 5418,Undirected,65,,,1,(urban 1830),none,(urban 5418),9.9,0,default,urbanangrycollectives,0,true
urban 683,urban 2063,Undirected,66,,,1,(urban 683),none,(urban 2063),9.9,0,default,urbanangrycollectives,0,true
urban 2271,urban 3837,Undirected,67,,,1,(urban 2271),none,(urban 3837),9.9,0,default,urbanangrycollectives,0,true
urban 847,urban 2516,Undirected,68,,,1,(urban 847),none,(urban 2516),9.9,0,default,urbanangrycollectives,0,true
urban 3167,urban 5515,Undirected,69,,,1,(urban 3167),none,(urban 5515),9.9,0,default,urbanangrycollectives,0,true
urban 691,urban 3128,Undirected,70,,,1,(urban 691),none,(urban 3128),9.9,0,default,urbanangrycollectives,0,true
urban 153,urban 5874,Undirected,71,,,1,(urban 153),none,(urban 5874),9.9,0,default,urbanangrycollectives,0,true
urban 5621,urban 5833,Undirected,72,,,1,(urban 5621),none,(urban 5833),9.9,0,default,urbanangrycollectives,0,true
urban 2133,urban 3865,Undirected,73,,,1,(urban 2133),none,(urban 3865),9.9,0,default,urbanangrycollectives,0,true
urban 2704,urban 6109,Undirected,74,,,1,(urban 2704),none,(urban 6109),9.9,0,default,urbanangrycollectives,0,true
urban 310,urban 914,Undirected,75,,,1,(urban 310),none,(urban 914),9.9,0,default,urbanangrycollectives,0,true
urban 376,urban 3969,Undirected,76,,,1,(urban 376),none,(urban 3969),9.9,0,default,urbanangrycollectives,0,true
urban 4815,urban 5500,Undirected,77,,,1,(urban 4815),none,(urban 5500),9.9,0,default,urbanangrycollectives,0,true
urban 5482,urban 6129,Undirected,78,,,1,(urban 5482),none,(urban 6129),9.9,0,default,urbanangrycollectives,0,true
urban 1824,urban 4336,Undirected,79,,,1,(urban 1824),none,(urban 4336),9.9,0,default,urbanangrycollectives,0,true
urban 1710,urban 4630,Undirected,80,,,1,(urban 1710),none,(urban 4630),9.9,0,default,urbanangrycollectives,0,true
urban 1190,urban 3361,Undirected,81,,,1,(urban 1190),none,(urban 3361),9.9,0,default,urbanangrycollectives,0,true
urban 3652,urban 3816,Undirected,82,,,1,(urban 3652),none,(urban 3816),9.9,0,default,urbanangrycollectives,0,true
urban 5627,urban 5697,Undirected,83,,,1,(urban 5627),none,(urban 5697),9.9,0,default,urbanangrycollectives,0,true
urban 1868,urban 3157,Undirected,84,,,1,(urban 1868),none,(urban 3157),9.9,0,default,urbanangrycollectives,0,true
urban 4318,urban 5695,Undirected,85,,,1,(urban 4318),none,(urban 5695),9.9,0,default,urbanangrycollectives,0,true
urban 262,urban 415,Undirected,86,,,1,(urban 262),none,(urban 415),9.9,0,default,urbanangrycollectives,0,true
urban 1146,urban 5850,Undirected,87,,,1,(urban 1146),none,(urban 5850),9.9,0,default,urbanangrycollectives,0,true
urban 808,urban 907,Undirected,88,,,1,(urban 808),none,(urban 907),9.9,0,default,urbanangrycollectives,0,true
urban 529,urban 4965,Undirected,89,,,1,(urban 529),none,(urban 4965),9.9,0,default,urbanangrycollectives,0,true
urban 3158,urban 5988,Undirected,90,,,1,(urban 3158),none,(urban 5988),9.9,0,default,urbanangrycollectives,0,true
urban 3726,urban 4534,Undirected,91,,,1,(urban 3726),none,(urban 4534),9.9,0,default,urbanangrycollectives,0,true
urban 781,urban 4000,Undirected,92,,,1,(urban 781),none,(urban 4000),9.9,0,default,urbanangrycollectives,0,true
urban 2284,urban 4318,Undirected,93,,,1,(urban 2284),none,(urban 4318),9.9,0,default,urbanangrycollectives,0,true
urban 2686,urban 5203,Undirected,94,,,1,(urban 2686),none,(urban 5203),9.9,0,default,urbanangrycollectives,0,true
urban 224,urban 5017,Undirected,95,,,1,(urban 224),none,(urban 5017),9.9,0,default,urbanangrycollectives,0,true
urban 362,urban 5224,Undirected,96,,,1,(urban 362),none,(urban 5224),9.9,0,default,urbanangrycollectives,0,true
urban 151,urban 2252,Undirected,97,,,1,(urban 151),none,(urban 2252),9.9,0,default,urbanangrycollectives,0,true
urban 4839,urban 5741,Undirected,98,,,1,(urban 4839),none,(urban 5741),9.9,0,default,urbanangrycollectives,0,true
urban 2699,urban 2914,Undirected,99,,,1,(urban 2699),none,(urban 2914),9.9,0,default,urbanangrycollectives,0,true
urban 5040,urban 5710,Undirected,100,,,1,(urban 5040),none,(urban 5710),9.9,0,default,urbanangrycollectives,0,true
urban 679,urban 5122,Undirected,101,,,1,(urban 679),none,(urban 5122),9.9,0,default,urbanangrycollectives,0,true
urban 748,urban 3472,Undirected,102,,,1,(urban 748),none,(urban 3472),9.9,0,default,urbanangrycollectives,0,true
urban 5875,urban 6025,Undirected,103,,,1,(urban 5875),none,(urban 6025),9.9,0,default,urbanangrycollectives,0,true
urban 600,urban 3422,Undirected,104,,,1,(urban 600),none,(urban 3422),9.9,0,default,urbanangrycollectives,0,true
urban 578,urban 6371,Undirected,105,,,1,(urban 578),none,(urban 6371),9.9,0,default,urbanangrycollectives,0,true
urban 3799,urban 5769,Undirected,106,,,1,(urban 3799),none,(urban 5769),9.9,0,default,urbanangrycollectives,0,true
urban 1517,urban 4098,Undirected,107,,,1,(urban 1517),none,(urban 4098),9.9,0,default,urbanangrycollectives,0,true
urban 2994,urban 4188,Undirected,108,,,1,(urban 2994),none,(urban 4188),9.9,0,default,urbanangrycollectives,0,true
urban 1235,urban 2963,Undirected,109,,,1,(urban 1235),none,(urban 2963),9.9,0,default,urbanangrycollectives,0,true
urban 3530,urban 3551,Undirected,110,,,1,(urban 3530),none,(urban 3551),9.9,0,default,urbanangrycollectives,0,true
urban 2114,urban 4961,Undirected,111,,,1,(urban 2114),none,(urban 4961),9.9,0,default,urbanangrycollectives,0,true
urban 504,urban 644,Undirected,112,,,1,(urban 504),none,(urban 644),9.9,0,default,urbanangrycollectives,0,true
urban 4681,urban 5057,Undirected,113,,,1,(urban 4681),none,(urban 5057),9.9,0,default,urbanangrycollectives,0,true
urban 2545,urban 3977,Undirected,114,,,1,(urban 2545),none,(urban 3977),9.9,0,default,urbanangrycollectives,0,true
urban 1325,urban 3062,Undirected,115,,,1,(urban 1325),none,(urban 3062),9.9,0,default,urbanangrycollectives,0,true
urban 799,urban 5678,Undirected,116,,,1,(urban 799),none,(urban 5678),9.9,0,default,urbanangrycollectives,0,true
urban 1032,urban 5857,Undirected,117,,,1,(urban 1032),none,(urban 5857),9.9,0,default,urbanangrycollectives,0,true
urban 469,urban 3922,Undirected,118,,,1,(urban 469),none,(urban 3922),9.9,0,default,urbanangrycollectives,0,true
urban 306,urban 3102,Undirected,119,,,1,(urban 306),none,(urban 3102),9.9,0,default,urbanangrycollectives,0,true
urban 1148,urban 2384,Undirected,120,,,1,(urban 1148),none,(urban 2384),9.9,0,default,urbanangrycollectives,0,true
urban 5123,urban 5567,Undirected,121,,,1,(urban 5123),none,(urban 5567),9.9,0,default,urbanangrycollectives,0,true
urban 3087,urban 5040,Undirected,122,,,1,(urban 3087),none,(urban 5040),9.9,0,default,urbanangrycollectives,0,true
urban 153,urban 4910,Undirected,123,,,1,(urban 153),none,(urban 4910),9.9,0,default,urbanangrycollectives,0,true
urban 5555,urban 5713,Undirected,124,,,1,(urban 5555),none,(urban 5713),9.9,0,default,urbanangrycollectives,0,true
urban 2147,urban 2635,Undirected,125,,,1,(urban 2147),none,(urban 2635),9.9,0,default,urbanangrycollectives,0,true
urban 5355,urban 5940,Undirected,126,,,1,(urban 5355),none,(urban 5940),9.9,0,default,urbanangrycollectives,0,true
urban 3508,urban 5418,Undirected,127,,,1,(urban 3508),none,(urban 5418),9.9,0,default,urbanangrycollectives,0,true
urban 5972,urban 6008,Undirected,128,,,1,(urban 5972),none,(urban 6008),9.9,0,default,urbanangrycollectives,0,true
urban 338,urban 2818,Undirected,129,,,1,(urban 338),none,(urban 2818),9.9,0,default,urbanangrycollectives,0,true
urban 3341,urban 3530,Undirected,130,,,1,(urban 3341),none,(urban 3530),9.9,0,default,urbanangrycollectives,0,true
urban 3304,urban 4817,Undirected,131,,,1,(urban 3304),none,(urban 4817),9.9,0,default,urbanangrycollectives,0,true
urban 5790,urban 5909,Undirected,132,,,1,(urban 5790),none,(urban 5909),9.9,0,default,urbanangrycollectives,0,true
urban 1237,urban 4955,Undirected,133,,,1,(urban 1237),none,(urban 4955),9.9,0,default,urbanangrycollectives,0,true
urban 1548,urban 4877,Undirected,134,,,1,(urban 1548),none,(urban 4877),9.9,0,default,urbanangrycollectives,0,true
urban 1483,urban 4239,Undirected,135,,,1,(urban 1483),none,(urban 4239),9.9,0,default,urbanangrycollectives,0,true
urban 3211,urban 3816,Undirected,136,,,1,(urban 3211),none,(urban 3816),9.9,0,default,urbanangrycollectives,0,true
urban 5044,urban 5980,Undirected,137,,,1,(urban 5044),none,(urban 5980),9.9,0,default,urbanangrycollectives,0,true
urban 4336,urban 4690,Undirected,138,,,1,(urban 4336),none,(urban 4690),9.9,0,default,urbanangrycollectives,0,true
urban 193,urban 3883,Undirected,139,,,1,(urban 193),none,(urban 3883),9.9,0,default,urbanangrycollectives,0,true
urban 2801,urban 4886,Undirected,140,,,1,(urban 2801),none,(urban 4886),9.9,0,default,urbanangrycollectives,0,true
urban 697,urban 1492,Undirected,141,,,1,(urban 697),none,(urban 1492),9.9,0,default,urbanangrycollectives,0,true
urban 1412,urban 5414,Undirected,142,,,1,(urban 1412),none,(urban 5414),9.9,0,default,urbanangrycollectives,0,true
urban 1834,urban 4464,Undirected,143,,,1,(urban 1834),none,(urban 4464),9.9,0,default,urbanangrycollectives,0,true
urban 1130,urban 4190,Undirected,144,,,1,(urban 1130),none,(urban 4190),9.9,0,default,urbanangrycollectives,0,true
urban 2427,urban 3617,Undirected,145,,,1,(urban 2427),none,(urban 3617),9.9,0,default,urbanangrycollectives,0,true
urban 3201,urban 4988,Undirected,146,,,1,(urban 3201),none,(urban 4988),9.9,0,default,urbanangrycollectives,0,true
urban 3477,urban 3686,Undirected,147,,,1,(urban 3477),none,(urban 3686),9.9,0,default,urbanangrycollectives,0,true
urban 2252,urban 4503,Undirected,148,,,1,(urban 2252),none,(urban 4503),9.9,0,default,urbanangrycollectives,0,true
urban 3924,urban 4786,Undirected,149,,,1,(urban 3924),none,(urban 4786),9.9,0,default,urbanangrycollectives,0,true
urban 2597,urban 5579,Undirected,150,,,1,(urban 2597),none,(urban 5579),9.9,0,default,urbanangrycollectives,0,true
urban 1616,urban 4206,Undirected,151,,,1,(urban 1616),none,(urban 4206),9.9,0,default,urbanangrycollectives,0,true
urban 4690,urban 5232,Undirected,152,,,1,(urban 4690),none,(urban 5232),9.9,0,default,urbanangrycollectives,0,true
urban 3504,urban 4155,Undirected,153,,,1,(urban 3504),none,(urban 4155),9.9,0,default,urbanangrycollectives,0,true
urban 2090,urban 2240,Undirected,154,,,1,(urban 2090),none,(urban 2240),9.9,0,default,urbanangrycollectives,0,true
urban 3093,urban 3864,Undirected,155,,,1,(urban 3093),none,(urban 3864),9.9,0,default,urbanangrycollectives,0,true
urban 1007,urban 4090,Undirected,156,,,1,(urban 1007),none,(urban 4090),9.9,0,default,urbanangrycollectives,0,true
urban 541,urban 5681,Undirected,157,,,1,(urban 541),none,(urban 5681),9.9,0,default,urbanangrycollectives,0,true
urban 4036,urban 5831,Undirected,158,,,1,(urban 4036),none,(urban 5831),9.9,0,default,urbanangrycollectives,0,true
urban 5356,urban 5847,Undirected,159,,,1,(urban 5356),none,(urban 5847),9.9,0,default,urbanangrycollectives,0,true
urban 2633,urban 2815,Undirected,160,,,1,(urban 2633),none,(urban 2815),9.9,0,default,urbanangrycollectives,0,true
urban 2101,urban 5264,Undirected,161,,,1,(urban 2101),none,(urban 5264),9.9,0,default,urbanangrycollectives,0,true
urban 1676,urban 2058,Undirected,162,,,1,(urban 1676),none,(urban 2058),9.9,0,default,urbanangrycollectives,0,true
urban 2696,urban 3268,Undirected,163,,,1,(urban 2696),none,(urban 3268),9.9,0,default,urbanangrycollectives,0,true
urban 372,urban 3422,Undirected,164,,,1,(urban 372),none,(urban 3422),9.9,0,default,urbanangrycollectives,0,true
urban 1081,urban 4719,Undirected,165,,,1,(urban 1081),none,(urban 4719),9.9,0,default,urbanangrycollectives,0,true
urban 1003,urban 1114,Undirected,166,,,1,(urban 1003),none,(urban 1114),9.9,0,default,urbanangrycollectives,0,true
urban 3452,urban 4889,Undirected,167,,,1,(urban 3452),none,(urban 4889),9.9,0,default,urbanangrycollectives,0,true
urban 1222,urban 1516,Undirected,168,,,1,(urban 1222),none,(urban 1516),9.9,0,default,urbanangrycollectives,0,true
urban 1658,urban 3136,Undirected,169,,,1,(urban 1658),none,(urban 3136),9.9,0,default,urbanangrycollectives,0,true
urban 3711,urban 5265,Undirected,170,,,1,(urban 3711),none,(urban 5265),9.9,0,default,urbanangrycollectives,0,true
urban 2517,urban 3369,Undirected,171,,,1,(urban 2517),none,(urban 3369),9.9,0,default,urbanangrycollectives,0,true
urban 613,urban 5637,Undirected,172,,,1,(urban 613),none,(urban 5637),9.9,0,default,urbanangrycollectives,0,true
urban 2396,urban 4271,Undirected,173,,,1,(urban 2396),none,(urban 4271),9.9,0,default,urbanangrycollectives,0,true
urban 2503,urban 5713,Undirected,174,,,1,(urban 2503),none,(urban 5713),9.9,0,default,urbanangrycollectives,0,true
urban 1507,urban 2604,Undirected,175,,,1,(urban 1507),none,(urban 2604),9.9,0,default,urbanangrycollectives,0,true
urban 1018,urban 5929,Undirected,176,,,1,(urban 1018),none,(urban 5929),9.9,0,default,urbanangrycollectives,0,true
urban 224,urban 5609,Undirected,177,,,1,(urban 224),none,(urban 5609),9.9,0,default,urbanangrycollectives,0,true
urban 3937,urban 6222,Undirected,178,,,1,(urban 3937),none,(urban 6222),9.9,0,default,urbanangrycollectives,0,true
urban 1627,urban 1949,Undirected,179,,,1,(urban 1627),none,(urban 1949),9.9,0,default,urbanangrycollectives,0,true
urban 3133,urban 5697,Undirected,180,,,1,(urban 3133),none,(urban 5697),9.9,0,default,urbanangrycollectives,0,true
urban 2673,urban 3781,Undirected,181,,,1,(urban 2673),none,(urban 3781),9.9,0,default,urbanangrycollectives,0,true
urban 3919,urban 4719,Undirected,182,,,1,(urban 3919),none,(urban 4719),9.9,0,default,urbanangrycollectives,0,true
urban 525,urban 1503,Undirected,183,,,1,(urban 525),none,(urban 1503),9.9,0,default,urbanangrycollectives,0,true
urban 224,urban 2244,Undirected,184,,,1,(urban 224),none,(urban 2244),9.9,0,default,urbanangrycollectives,0,true
urban 3452,urban 5868,Undirected,185,,,1,(urban 3452),none,(urban 5868),9.9,0,default,urbanangrycollectives,0,true
urban 1494,urban 3225,Undirected,186,,,1,(urban 1494),none,(urban 3225),9.9,0,default,urbanangrycollectives,0,true
urban 458,urban 6284,Undirected,187,,,1,(urban 458),none,(urban 6284),9.9,0,default,urbanangrycollectives,0,true
urban 2011,urban 6080,Undirected,188,,,1,(urban 2011),none,(urban 6080),9.9,0,default,urbanangrycollectives,0,true
urban 2109,urban 4839,Undirected,189,,,1,(urban 2109),none,(urban 4839),9.9,0,default,urbanangrycollectives,0,true
urban 2974,urban 5224,Undirected,190,,,1,(urban 2974),none,(urban 5224),9.9,0,default,urbanangrycollectives,0,true
urban 3931,urban 5941,Undirected,191,,,1,(urban 3931),none,(urban 5941),9.9,0,default,urbanangrycollectives,0,true
urban 2699,urban 5831,Undirected,192,,,1,(urban 2699),none,(urban 5831),9.9,0,default,urbanangrycollectives,0,true
urban 428,urban 2203,Undirected,193,,,1,(urban 428),none,(urban 2203),9.9,0,default,urbanangrycollectives,0,true
urban 4036,urban 5329,Undirected,194,,,1,(urban 4036),none,(urban 5329),9.9,0,default,urbanangrycollectives,0,true
urban 2658,urban 4965,Undirected,195,,,1,(urban 2658),none,(urban 4965),9.9,0,default,urbanangrycollectives,0,true
urban 5150,urban 5939,Undirected,196,,,1,(urban 5150),none,(urban 5939),9.9,0,default,urbanangrycollectives,0,true
urban 1545,urban 3586,Undirected,197,,,1,(urban 1545),none,(urban 3586),9.9,0,default,urbanangrycollectives,0,true
urban 4206,urban 5490,Undirected,198,,,1,(urban 4206),none,(urban 5490),9.9,0,default,urbanangrycollectives,0,true
urban 132,urban 4488,Undirected,199,,,1,(urban 132),none,(urban 4488),9.9,0,default,urbanangrycollectives,0,true
urban 3545,urban 5653,Undirected,200,,,1,(urban 3545),none,(urban 5653),9.9,0,default,urbanangrycollectives,0,true
urban 5329,urban 5715,Undirected,201,,,1,(urban 5329),none,(urban 5715),9.9,0,default,urbanangrycollectives,0,true
urban 4536,urban 4856,Undirected,202,,,1,(urban 4536),none,(urban 4856),9.9,0,default,urbanangrycollectives,0,true
urban 1397,urban 5349,Undirected,203,,,1,(urban 1397),none,(urban 5349),9.9,0,default,urbanangrycollectives,0,true
urban 828,urban 5044,Undirected,204,,,1,(urban 828),none,(urban 5044),9.9,0,default,urbanangrycollectives,0,true
urban 1797,urban 4378,Undirected,205,,,1,(urban 1797),none,(urban 4378),9.9,0,default,urbanangrycollectives,0,true
urban 1664,urban 2756,Undirected,206,,,1,(urban 1664),none,(urban 2756),9.9,0,default,urbanangrycollectives,0,true
urban 5670,urban 6207,Undirected,207,,,1,(urban 5670),none,(urban 6207),9.9,0,default,urbanangrycollectives,0,true
urban 4120,urban 5500,Undirected,208,,,1,(urban 4120),none,(urban 5500),9.9,0,default,urbanangrycollectives,0,true
urban 546,urban 2438,Undirected,209,,,1,(urban 546),none,(urban 2438),9.9,0,default,urbanangrycollectives,0,true
urban 5826,urban 5886,Undirected,210,,,1,(urban 5826),none,(urban 5886),9.9,0,default,urbanangrycollectives,0,true
urban 3096,urban 3885,Undirected,211,,,1,(urban 3096),none,(urban 3885),9.9,0,default,urbanangrycollectives,0,true
urban 4830,urban 5227,Undirected,212,,,1,(urban 4830),none,(urban 5227),9.9,0,default,urbanangrycollectives,0,true
urban 5172,urban 5428,Undirected,213,,,1,(urban 5172),none,(urban 5428),9.9,0,default,urbanangrycollectives,0,true
urban 695,urban 2024,Undirected,214,,,1,(urban 695),none,(urban 2024),9.9,0,default,urbanangrycollectives,0,true
urban 3262,urban 4308,Undirected,215,,,1,(urban 3262),none,(urban 4308),9.9,0,default,urbanangrycollectives,0,true
urban 1358,urban 3102,Undirected,216,,,1,(urban 1358),none,(urban 3102),9.9,0,default,urbanangrycollectives,0,true
urban 2086,urban 5326,Undirected,217,,,1,(urban 2086),none,(urban 5326),9.9,0,default,urbanangrycollectives,0,true
urban 2282,urban 2651,Undirected,218,,,1,(urban 2282),none,(urban 2651),9.9,0,default,urbanangrycollectives,0,true
urban 3051,urban 3908,Undirected,219,,,1,(urban 3051),none,(urban 3908),9.9,0,default,urbanangrycollectives,0,true
urban 1081,urban 4818,Undirected,220,,,1,(urban 1081),none,(urban 4818),9.9,0,default,urbanangrycollectives,0,true
urban 427,urban 1675,Undirected,221,,,1,(urban 427),none,(urban 1675),9.9,0,default,urbanangrycollectives,0,true
urban 2542,urban 6228,Undirected,222,,,1,(urban 2542),none,(urban 6228),9.9,0,default,urbanangrycollectives,0,true
urban 1681,urban 2652,Undirected,223,,,1,(urban 1681),none,(urban 2652),9.9,0,default,urbanangrycollectives,0,true
urban 2002,urban 4815,Undirected,224,,,1,(urban 2002),none,(urban 4815),9.9,0,default,urbanangrycollectives,0,true
urban 4513,urban 5064,Undirected,225,,,1,(urban 4513),none,(urban 5064),9.9,0,default,urbanangrycollectives,0,true
urban 5371,urban 5568,Undirected,226,,,1,(urban 5371),none,(urban 5568),9.9,0,default,urbanangrycollectives,0,true
urban 1289,urban 1945,Undirected,227,,,1,(urban 1289),none,(urban 1945),9.9,0,default,urbanangrycollectives,0,true
urban 4035,urban 5832,Undirected,228,,,1,(urban 4035),none,(urban 5832),9.9,0,default,urbanangrycollectives,0,true
urban 2599,urban 5941,Undirected,229,,,1,(urban 2599),none,(urban 5941),9.9,0,default,urbanangrycollectives,0,true
